WO_ID,WO_Date,Equipment,Notes,Start,Finish,Tech,Area
WO-550037,2023-09-04,306M009,Bearing noise audible; grease contaminated; bearings replaced.,2023-09-04 03:32,2023-09-04 12:02,Fajar,Area-200
WO-550015,2023-04-27,pt-1587,Bearing noise audible; grease contaminated; bearings replaced.,2023-04-27 00:26,,Agus,Tank Farm
WO-550057,2024-02-16,CV404,inspected; ok after,2024-02-16 21:56,2024-02-17 00:14,Budi,Area-200
WO-550159,2025-09-21,301M004,checked; bearing failure; fixed,2025-09-21 17:09,2025-09-22 07:31,Rina,Area-400
WO-550127,2025-03-13,311M007,Impulse line restriction found; flushed and restored response.,2025-03-13 09:42,2025-03-13 21:37,Rina,Area-400
WO-550111,2024-11-14,PMP110,checked; mechanical seal leakage; fixed,2024-11-14 21:06,2024-11-15 06:53,Nina,Wastewater
WO-650036,2023-05-12,TX-503,inspection completed,2023-05-12 13:00,2023-05-12 13:27,Andi,Area-200
WO-650103,2024-01-31,106-p-003,routine inspection done,,2024-01-31 08:59,Nina,Area-400
WO-550018,2023-05-12,FT1794,abnormal; repaired,2023-05-12 13:26,2023-05-12 15:34,Rina,Wastewater
WO-550013,2023-04-09,101-P-009A,trip - bearing issue; reset attempted,2023-04-09 18:22,2023-04-10 01:04,Nina,Area-100
WO-550025,2023-06-20,TT1566,trip - environmental issue; reset attempted,2023-06-20 09:59,2023-06-20 14:21,Nina,Area-300
WO-550125,2025-02-13,405-FV-891,trip - stiction issue; reset attempted,2025-02-13 05:35,2025-02-13 10:33,Dewi,Area-300
WO-550163,2025-10-07,405-FV-891,inspected; ok after,2025-10-07 17:31,2025-10-07 22:00,Nina,Area-300
WO-550141,2025-06-12,110P009,trip - dry issue; reset attempted,2025-06-12 12:15,2025-06-12 14:54,Rina,Wastewater
WO-650137,2024-06-08,110 P 009,PM inspection; filter differential pressure high; cleaned,2024-06-08 11:00,,Nina,Wastewater
WO-550009,2023-02-08,MTR-311,abnormal; repaired,2023-02-08 21:06,,Nina,Area-400
WO-550047,2023-12-22,LT1723,checked; calibration drift / out of tolerance; fixed,2023-12-22 19:19,2023-12-22 20:53,Rina,Utilities
WO-650052,2023-07-03,101 P 009A,routine lube done,2023-07-03 11:00,2023-07-03 11:18,Sari,Area-100
WO-650245,2025-09-12,CV-403,PM positioner check; no abnormality found,2025-09-12 13:00,2025-09-12 14:07,Rina,Area-100
WO-550119,2024-12-26,TX-505,Loose terminal found; hot spot on IR; tightened and re-torqued connections.,2024-12-26 11:33,2024-12-26 16:29,Fajar,Utilities
WO-550058,2024-02-20,114-P-003B,inspected; ok after,2024-02-20 22:41,2024-02-21 04:29,Agus,Area-300
WO-550054,2024-02-01,203-c-009,checked; overheat trip; fixed,,2024-02-01 17:05,Nina,Area-100
WO-550143,2025-06-26,301M004,trip - overload issue; reset attempted,2025-06-26 09:44,2025-06-26 13:20,Agus,Area-400
WO-550066,2024-04-20,TX504,Megger PI low; motor pulled for inspection; winding repair scheduled.,2024-04-20 09:37,2024-04-20 16:18,Andi,Tank Farm
WO-550016,2023-05-09,PMP108,Low lube oil pressure alarm; filter found dirty; cleaned and replaced element.,,2023-05-10 03:59,Budi,Area-300
WO-550121,2025-01-06,MTR-309,inspected; ok after,2025-01-06 19:34,2025-01-06 22:42,Fajar,Utilities
WO-550122,2025-01-22,107-P-001,checked; bearing degradation / failure; fixed,2025-01-22 19:55,2025-01-23 01:13,Sari,Area-400
WO-550069,2024-04-29,CV410,trip - stiction issue; reset attempted,2024-04-29 21:27,2024-04-30 04:34,Agus,Area-300
WO-550164,2025-10-14,CV-401,Low lube oil pressure alarm; filter found dirty; cleaned and replaced element.,2025-10-14 22:02,2025-10-15 01:38,Budi,Area-200
WO-650128,2024-04-29,111 P 006A,routine lube done,2024-04-29 09:00,,Budi,Area-100
WO-550096,2024-08-30,pt-1587,abnormal; repaired,2024-08-30 07:07,2024-08-30 10:50,Budi,Tank Farm
WO-550033,2023-07-25,MTR307,abnormal; repaired,2023-07-25 13:01,2023-07-25 17:09,Agus,Utilities
WO-550132,2025-04-29,PMP-108,trip - misalignment issue; reset attempted,2025-04-29 22:18,2025-04-30 03:07,Fajar,Area-300
